fecha_vigencia,lista_id,planta,valor
12.05.2026,COMB-28-2026,CUSCO,23.4348
12.05.2026,COMB-28-2026,EL MILAGRO,23.2342
12.05.2026,COMB-28-2026,ETEN,23.4466
12.05.2026,COMB-28-2026,ILO,23.5882
12.05.2026,COMB-28-2026,IQUITOS,18.76
12.05.2026,COMB-28-2026,JULIACA,23.3286
12.05.2026,COMB-28-2026,LIMA,22.2312
12.05.2026,COMB-28-2026,MOLLENDO,23.1516
12.05.2026,COMB-28-2026,PISCO,23.0336
12.05.2026,COMB-28-2026,PIURA,20.9214
12.05.2026,COMB-28-2026,PTO. MALDONADO,19.7183
12.05.2026,COMB-28-2026,PUCALLPA,19.05
12.05.2026,COMB-28-2026,SALAVERRY,23.7062
12.05.2026,COMB-28-2026,SUPE,22.833
12.05.2026,COMB-28-2026,TALARA,20.7208
12.05.2026,COMB-28-2026,TARAPOTO,23.6295
12.05.2026,COMB-28-2026,YURIMAGUAS,17.25
12.06.2026,COMB-40-2026,CHIMBOTE,19.8476
12.06.2026,COMB-40-2026,CUSCO,21.9126
12.06.2026,COMB-40-2026,EL MILAGRO,22.007
12.06.2026,COMB-40-2026,ETEN,19.8358
12.06.2026,COMB-40-2026,ILO,22.066
12.06.2026,COMB-40-2026,IQUITOS,17.02
12.06.2026,COMB-40-2026,JULIACA,21.8064
12.06.2026,COMB-40-2026,LIMA,19.9066
12.06.2026,COMB-40-2026,MOLLENDO,21.6294
12.06.2026,COMB-40-2026,PISCO,20.355
12.06.2026,COMB-40-2026,PIURA,19.6942
12.06.2026,COMB-40-2026,PTO. MALDONADO,18.5283
12.06.2026,COMB-40-2026,PUCALLPA,17.08
12.06.2026,COMB-40-2026,SALAVERRY,20.532
12.06.2026,COMB-40-2026,SUPE,20.3668
12.06.2026,COMB-40-2026,TALARA,19.4936
